Band Center,14-Apr-22,7-Oct-22,5-Nov-22,2-Feb-23,Average
412.97,0.824526744,0.841471165,0.835619442,0.810848794,0.828116536
447.37,0.8809784,0.870313382,0.871022636,0.858547893,0.870215578
488.11,1.02657141,1.039228618,1.037559,1.027080532,1.03260989
509.55,0.98442569,1.005966307,0.982519035,0.978239349,0.987787595
556.69,1.02288614,1.024988694,1.011202913,1.007068283,1.016536507
670.37,1.003186978,0.998161327,0.983519482,0.990108976,0.993744191
751.42,0.933543747,0.935985212,0.922528296,0.929384319,0.930360393
865.79,0.915168127,0.904237061,0.890457433,0.912286165,0.905537196
